PM10,NO,NO2,O3,PM25
39.034,0.38376,33.35864,72.84305,35.0
30.339,0.38376,30.35583,66.05767,24.0
34.203,0.70357,39.43376,48.84476,25.0
35.17,0.67159,47.06617,31.53206,23.0
46.764,1.61949,66.63315,11.9742,25.0
36.136,3.40945,66.26022,6.12015,27.0
36.136,2.30138,34.23115,57.32648,19.0
33.237,0.3516,15.62191,79.1794,22.0
30.339,0.44749,23.25047,61.56735,19.0
31.305,3.99545,55.5194,18.01119,19.0
34.203,5.46577,52.14688,37.9183,17.0
32.271,3.93152,37.37274,60.91874,24.0
30.339,2.55709,24.33557,84.468,17.0
32.271,1.85389,21.34813,96.79145,16.0
30.339,2.1096,18.61829,115.30157,14.0
17.778,1.21462,15.92491,133.91147,11.0
29.372,1.66211,21.79465,135.40825,24.0
37.102,1.53425,15.23152,139.89857,19.0
33.237,1.15069,10.89002,137.85298,14.0
28.406,1.27854,11.9645,123.83319,21.0
23.575,1.72603,13.71776,115.40135,12.0
29.372,0.79909,10.66682,121.63792,15.0
23.575,0.60731,12.68879,120.98931,14.0
23.575,0.60731,12.68879,119.29297,17.0
19.71,0.44749,17.50772,101.48135,16.0
24.541,1.08676,12.71595,75.43746,15.0
19.71,0.60731,10.55432,81.12521,15.0
17.778,0.73516,7.05492,80.02757,16.0
38.068,0.29817,8.4742,77.69925,12.0
17.778,0.34077,3.60488,78.03187,20.0
20.677,0.5431,1.95832,80.07746,22.0
13.913,0.21298,2.31226,77.33338,18.0
11.981,0.73478,3.08532,73.8409,17.0
16.812,1.9807,7.31525,55.72992,18.0
7.15,4.36753,11.91897,49.54325,6.0
11.015,4.46317,13.3867,47.54755,9.0
11.015,7.8743,14.05893,50.69078,10.0
6.184,4.90948,12.34921,52.63659,9.0
10.048,4.36753,13.1802,52.33723,9.0
11.981,4.68632,13.59947,52.23745,11.0
4.251,6.59911,14.75296,50.04218,7.0
5.217,6.66287,17.6317,48.89465,7.0
6.184,4.43129,14.09142,51.58885,5.0
3.285,2.13594,8.22735,53.93379,4.0
2.319,2.48662,9.75807,52.28734,3.0
1.353,2.39098,9.60202,53.83401,4.0
8.116,2.45474,9.50425,53.48476,4.0
