PM10,NO,NO2,O3,PM25
12.947,3.52002,12.22377,69.25079,7.0
10.048,2.5002,12.16091,71.44606,5.0
11.981,2.30282,16.25886,70.548,8.0
8.116,2.10544,26.53775,59.67143,7.0
16.812,2.43441,49.61844,35.82282,8.0
12.947,2.99367,45.29093,37.36948,13.0
12.947,2.82918,42.77799,33.2783,11.0
20.677,6.21761,55.79992,17.06324,14.0
19.71,7.27033,48.22173,13.3213,17.0
13.913,1.14073,26.8487,25.01277,9.0
11.981,1.09685,19.96562,31.99772,12.0
6.184,0.85554,14.92376,33.22841,10.0
11.981,1.25041,15.7301,29.2869,11.0
9.082,0.82264,11.17324,32.77937,14.0
6.184,3.75123,27.42524,16.16517,10.0
6.184,10.13491,27.1395,25.04604,7.0
10.048,4.93583,16.59515,51.08992,6.0
12.947,4.44225,15.12568,58.87315,7.0
10.048,6.05462,15.20549,58.17466,9.0
8.116,3.61961,10.63129,61.2181,7.0
13.913,3.22474,11.23674,64.66068,9.0
17.778,3.48799,11.3218,70.44821,17.0
14.879,2.40211,9.78312,71.34628,14.0
15.846,4.40934,15.39333,69.10111,9.0
16.812,3.02731,13.98295,69.30068,10.0
14.879,2.89569,13.64177,69.10111,8.0
13.913,2.63244,15.0228,66.65638,8.0
8.116,2.3692,21.77949,57.12691,8.0
12.947,1.1846,25.65923,49.84261,10.0
19.71,1.48075,27.32283,51.8882,12.0
11.015,1.41494,22.04808,53.58455,10.0
6.184,1.31622,26.9778,48.44562,9.0
8.116,3.25765,34.31791,41.31099,6.0
5.217,1.36043,23.65416,45.96762,17.0
3.285,0.35108,10.33779,55.74655,4.0
5.217,0.59245,10.83779,56.97724,2.0
3.285,0.46079,10.9309,55.28089,2.0
2.319,0.36205,12.49619,48.5454,8.0
2.319,0.59245,19.59306,39.81422,6.0
7.15,3.29137,30.1919,37.25307,4.0
10.048,4.70666,17.85266,48.14626,6.0
5.217,5.13453,17.84915,51.43917,6.0
9.082,4.14712,14.14263,56.02928,6.0
7.15,4.24586,13.01238,61.56735,9.0
10.048,4.0813,12.82967,60.76907,9.0
19.71,5.33202,13.95724,59.37208,9.0
9.082,4.01547,13.03937,58.72347,7.0
9.082,3.1268,12.28113,58.72347,6.0
7.15,3.09389,11.18961,61.36778,7.0
4.251,2.69892,9.45685,61.61724,11.0
12.947,2.79766,15.28731,56.02928,7.0
7.15,1.48112,9.58395,58.27444,6.0
6.184,1.38237,5.76557,61.96649,8.0
3.285,1.21781,5.85476,59.67143,4.0
0.386,1.11907,5.73426,61.11831,1.0
1.353,1.11907,6.93063,62.71487,1.0
2.319,0.61432,7.68129,66.85595,-1.0
1.353,1.097,10.78179,66.52333,0.0
5.217,0.69111,12.3643,70.59789,3.0
2.319,0.52656,9.62746,77.03402,6.0
8.116,0.62529,10.72608,73.74112,7.0
11.981,0.55947,9.84874,73.59144,7.0
11.015,1.94169,19.46856,64.61079,5.0
12.947,4.60739,19.566,64.96004,11.0
11.015,3.62009,15.0472,68.95144,8.0
10.048,3.19226,12.82275,75.48735,5.0
12.947,2.79734,12.01523,78.08176,4.0
8.116,2.69861,9.6666,79.22929,4.0
8.116,3.22517,9.56575,82.27273,6.0
11.981,2.9948,10.6255,84.66757,6.0
16.812,2.73152,10.43136,81.42456,7.0
5.217,2.6328,9.71317,77.08391,6.0
5.217,2.92898,10.29164,73.54155,4.0
8.116,2.96189,13.28467,72.19445,7.0
5.217,2.00751,13.44369,67.25509,10.0
10.048,1.9746,11.53762,66.80606,7.0
12.947,0.95439,8.04754,68.00348,4.0
11.981,1.3164,9.82944,66.95574,4.0
11.015,1.38222,7.98938,67.00563,5.0
7.15,1.08603,6.3783,66.90584,6.0
9.082,0.61425,5.21394,65.72505,7.0
7.15,0.78975,6.97263,63.72935,9.0
11.015,0.32906,4.43817,65.50885,6.0
9.082,0.39487,4.17431,66.5067,6.0
9.082,0.42778,10.75037,56.02928,11.0
18.744,1.5795,18.5983,48.04648,10.0
18.744,2.40215,17.01102,48.5454,7.0
19.71,3.15899,17.48002,51.8882,6.0
22.609,3.12609,18.45384,57.02713,8.0
14.879,4.04746,15.95477,64.11186,5.0
14.879,4.08037,13.46011,68.20305,7.0
14.879,2.56668,11.0556,73.74112,10.0
18.744,2.23762,8.89869,77.88219,11.0
21.643,2.36925,12.01012,74.73897,10.0
16.812,2.6654,14.21749,70.99703,9.0
14.879,1.18462,7.41727,79.02972,11.0
15.846,1.21753,5.57439,78.28133,10.0
11.015,1.02009,6.31165,77.78241,8.0
7.15,1.15172,6.92457,77.88219,4.0
5.217,1.51369,13.37628,66.80606,2.0
10.048,1.6124,6.70703,70.74757,4.0
17.778,1.02009,4.84513,75.13811,9.0
25.508,1.21753,4.59671,79.27918,14.0
28.406,1.0859,3.92948,82.62198,15.0
31.305,0.70192,2.54262,83.08764,14.0
31.305,0.70192,2.03598,80.82585,13.0
26.474,0.46063,1.79073,81.02542,14.0
29.372,0.59224,1.20895,78.97983,12.0
25.508,0.42773,1.62405,77.13381,14.0
22.609,0.52644,2.39552,78.83015,11.0
19.71,0.62515,3.1127,76.83445,12.0
17.778,0.82256,2.32145,78.03187,13.0
22.609,0.98707,2.61203,77.13381,10.0
20.677,1.21739,3.77882,77.38327,6.0
14.879,1.51351,5.11612,76.63488,8.0
7.15,1.61222,4.8562,75.48735,9.0
10.048,2.13866,6.22033,76.33553,8.0
8.116,1.87544,6.4068,75.8366,8.0
11.981,1.54641,4.3057,77.78241,8.0
11.981,1.61222,7.08181,74.43961,5.0
8.116,1.61222,9.36171,74.14026,3.0
8.116,1.44771,9.66824,78.18155,6.0
10.048,1.57932,11.25779,76.13596,5.0
10.048,1.61222,15.33286,72.19445,8.0
11.981,1.57932,16.30613,68.5523,11.0
