PM10,NO,NO2,O3,PM25
11.981,1.06391,10.50088,52.83616,4.0
11.015,0.99943,8.41595,56.77767,4.0
28.406,0.51569,6.06966,58.47401,15.0
5.217,0.47272,6.65331,53.21867,6.0
4.251,0.22561,8.53695,48.5454,7.0
11.981,0.38677,8.43547,45.85121,6.0
14.879,0.70907,9.20333,43.45637,6.0
12.947,0.90246,11.30147,40.76217,5.0
5.217,1.41815,14.47488,39.56475,3.0
9.082,3.22306,19.86217,37.31959,3.0
9.082,4.64121,21.32823,35.62325,6.0
8.116,3.86767,19.35918,41.95959,5.0
14.879,3.8999,20.47473,45.60175,4.0
11.981,4.93128,21.36886,46.99874,5.0
13.913,3.09414,19.08904,49.74282,8.0
11.981,2.99745,17.63546,51.93809,11.0
16.812,2.54622,17.93902,53.73422,8.0
7.15,2.28837,19.49934,52.33723,6.0
11.981,2.25614,23.18929,45.40218,6.0
10.048,3.93213,24.84248,41.61035,6.0
12.947,2.06276,19.9909,44.00519,9.0
11.015,2.19168,23.43375,41.76002,10.0
8.116,2.54622,23.5697,42.45852,7.0
9.082,1.93384,27.03277,37.9183,3.0
9.082,1.67599,23.20511,44.30454,6.0
11.015,1.19253,18.99529,44.95314,6.0
13.913,0.55851,14.22712,49.75945,8.0
18.744,0.51555,7.8194,59.80448,6.0
12.947,0.51555,7.31769,59.37208,4.0
7.15,0.67665,7.07066,60.86885,4.0
3.285,0.61221,5.3245,64.26154,5.0
5.217,0.83776,5.46418,68.65208,6.0
3.285,0.67665,3.76913,71.79531,7.0
2.319,1.06331,6.91476,66.70627,4.0
8.116,1.1922,7.88239,66.30713,2.0
6.184,1.73997,10.82955,62.86455,1.0
10.048,2.67439,15.9513,57.77552,0.0
5.217,3.38326,14.81582,56.07917,3.0
8.116,3.2866,11.85671,57.72562,6.0
14.879,3.54437,14.03472,56.5282,9.0
16.812,3.44771,15.59095,55.58025,6.0
13.913,3.93103,20.77321,48.84476,2.0
15.846,3.93103,27.91035,40.41293,4.0
16.812,4.4788,33.72208,31.53206,14.0
20.677,3.57659,31.22128,31.98109,8.0
22.609,2.73883,32.21452,29.2869,15.0
22.609,2.70661,29.54501,30.23486,13.0
15.846,2.12662,21.88916,36.27185,10.0
9.082,3.09327,30.3116,28.93765,5.0
11.981,3.09327,31.08843,25.54496,3.0
13.913,1.2885,22.2414,29.27027,8.0
16.812,0.9449,18.10613,30.73378,11.0
14.879,0.96638,11.97037,38.06798,9.0
19.71,0.80531,12.16877,37.41938,13.0
16.812,0.74089,10.85921,38.31744,9.0
12.947,0.61204,8.53147,38.41723,13.0
11.981,0.7731,11.78109,34.67529,12.0
11.015,1.67505,15.59443,32.92905,8.0
4.251,3.3501,21.13618,27.88991,4.0
5.217,7.731,22.86896,30.634,10.0
6.184,7.4733,15.34822,52.13766,6.0
8.116,3.18904,12.10748,60.71917,3.0
6.184,3.18904,11.52472,62.26584,3.0
8.116,3.44674,16.76297,55.82971,1.0
13.913,3.02798,16.62804,56.5781,4.0
11.981,2.25488,17.08499,54.03358,5.0
12.947,2.12603,19.03085,50.09207,6.0
11.981,2.77028,23.87065,44.20476,4.0
15.846,1.5462,21.03687,43.75572,5.0
17.778,1.70726,22.87814,41.85981,10.0
13.913,1.99718,20.29682,46.35013,8.0
11.981,1.38514,16.33034,50.69078,6.0
7.15,1.2885,15.5558,48.79487,4.0
6.184,1.06301,11.91933,47.94669,5.0
21.643,0.64407,9.3104,50.35816,6.0
12.947,0.42938,5.6888,55.74655,6.0
12.947,0.38644,4.55645,60.07057,5.0
6.184,0.09661,5.00085,56.27874,5.0
5.217,0.51526,5.18471,53.68433,4.0
2.319,0.77288,10.13297,47.79702,2.0
-0.58,0.86949,8.72188,63.91229,4.0
0.386,1.64238,11.81143,62.76477,3.0
1.353,2.44746,14.70588,60.71917,1.0
5.217,2.57628,14.8484,61.36778,2.0
5.217,2.54407,14.02342,60.96864,2.0
7.15,3.22035,15.60955,59.82111,0.0
4.251,2.7373,14.79581,62.11616,3.0
2.319,2.86611,14.88975,60.22025,5.0
2.319,3.38136,13.56537,64.511,6.0
3.285,1.90001,11.51356,67.45466,4.0
2.319,1.70678,12.39273,65.90799,1.0
2.319,1.93221,11.36703,66.85595,4.0
3.285,1.77119,11.03102,66.75617,4.0
2.319,0.9339,11.58622,58.67358,7.0
-1.546,1.09492,8.81341,65.70842,4.0
-0.58,0.77288,6.5384,68.25294,5.0
0.386,0.51526,6.83627,66.5067,3.0
2.319,0.54746,4.55243,67.90369,2.0
0.386,0.08585,4.01445,68.78513,4.0
5.217,0.1717,3.75325,67.92032,3.0
0.386,0.25756,1.88867,70.79746,1.0
2.319,0.22536,3.63858,66.20735,2.0
0.386,1.51314,4.67641,64.91014,4.0
2.319,1.51314,30.57324,36.27185,3.0
8.116,2.41458,23.26344,36.87056,3.0
3.285,2.76872,22.18598,40.96174,3.0
1.353,3.15505,17.12361,47.79702,-1.0
4.251,2.8653,14.99278,51.04003,1.0
2.319,2.92969,14.79688,49.99229,0.0
1.353,3.28383,15.51713,51.2396,2.0
1.353,2.70433,13.10177,52.63659,5.0
7.15,2.47897,15.7795,49.34368,3.0
6.184,2.73653,19.90317,44.10497,5.0
3.285,2.80091,22.81683,41.16131,4.0
8.116,3.41261,22.70489,39.86411,6.0
13.913,3.15505,28.15284,31.68174,7.0
12.947,2.67214,25.83233,31.48217,8.0
11.981,3.05847,26.60039,25.44518,7.0
7.15,2.15703,18.6539,29.23701,6.0
7.15,2.8653,21.06614,23.64905,6.0
8.116,1.83508,18.12721,24.74668,10.0
11.015,0.85828,14.30033,27.14152,14.0
7.15,0.3004,11.98063,28.87113,11.0
11.981,0.64371,11.69722,27.98969,12.0
8.116,0.93338,12.12784,23.59915,14.0
14.879,1.38397,16.0538,18.41033,13.0
8.116,1.02993,13.19476,21.15442,13.0
13.913,2.05986,20.65488,13.27141,8.0
5.217,6.53363,29.10375,9.13033,9.0
10.048,5.14966,26.41455,19.10883,6.0
7.15,4.69906,26.71667,29.03744,8.0
4.251,3.50821,21.54443,34.92475,6.0
8.116,4.85999,19.86051,35.42368,7.0
10.048,5.0531,17.86346,33.62755,5.0
17.778,5.56807,20.52436,29.2869,7.0
15.846,5.11747,24.42276,25.64475,11.0
11.981,4.05536,28.14106,21.70324,7.0
17.778,5.47151,29.27435,22.6512,4.0
24.541,6.56582,30.70675,19.40818,9.0
32.271,5.85774,33.20182,15.66625,18.0
45.798,7.59575,35.34816,13.72044,33.0
38.068,3.54039,27.95869,16.41463,29.0
