PM10,NO,NO2,O3,PM25
7.15,3.57621,12.91765,68.90154,6.0
8.116,2.79595,10.77787,71.64563,6.0
9.082,1.49551,7.55907,73.34198,8.0
10.048,0.81278,6.78144,71.14671,8.0
12.947,1.04035,6.69313,69.94929,5.0
6.184,0.8778,10.38281,63.96219,8.0
9.082,0.71524,6.87886,64.76047,6.0
11.015,0.71524,4.27247,66.05767,4.0
31.305,0.43339,2.74188,69.18427,7.0
7.15,0.82344,2.97803,69.91602,6.0
8.116,0.84511,2.45818,68.60219,5.0
8.116,0.52007,2.59159,65.90799,8.0
7.15,0.42255,5.71301,60.91874,6.0
5.217,1.26766,11.19523,53.78412,3.0
1.353,2.76285,17.14055,47.94669,4.0
1.353,6.01325,22.63654,48.84476,3.0
11.015,4.71309,17.33068,60.66928,3.0
15.846,6.72834,15.07489,62.81466,9.0
12.947,3.86799,11.27494,69.64993,6.0
9.082,4.06301,10.2981,69.74972,4.0
8.116,3.12039,8.51083,67.65423,4.0
4.251,3.1529,11.38076,64.91014,4.0
5.217,4.22553,14.53283,62.31573,6.0
10.048,3.51044,12.34455,64.41122,7.0
10.048,3.93299,14.8771,67.10541,7.0
8.116,3.70546,16.0602,67.05552,6.0
10.048,2.08026,13.49469,68.5024,4.0
11.015,1.91774,18.95775,58.97294,6.0
11.981,1.30016,14.27371,64.91014,6.0
11.981,1.36517,12.5056,63.91229,7.0
12.947,1.20265,8.94867,69.35058,6.0
10.048,0.84511,6.21216,65.50885,8.0
11.015,0.86659,8.68397,59.67143,7.0
9.082,0.95325,4.03146,62.93107,6.0
13.913,0.58495,7.60348,62.41552,5.0
11.981,0.48746,3.73744,71.94499,3.0
12.947,1.07241,8.88989,61.51745,7.0
16.812,2.40479,14.51292,57.97509,6.0
17.778,3.50969,13.8096,63.31358,5.0
18.744,3.54219,15.06351,64.511,8.0
12.947,5.687,19.28439,59.82111,5.0
11.015,4.45211,11.63449,68.75187,4.0
9.082,4.5496,13.72743,66.5067,6.0
12.947,4.15963,11.1964,68.5523,6.0
7.15,3.80216,10.33647,70.24864,8.0
15.846,3.50969,9.48118,72.59359,6.0
11.015,3.86716,12.73999,68.30283,6.0
3.285,3.3797,15.31265,64.96004,7.0
7.15,4.5496,19.56819,62.96434,8.0
7.15,3.63968,17.78225,66.65638,8.0
12.947,1.88483,13.01559,69.55015,6.0
14.879,1.39738,15.48395,61.36778,4.0
11.015,0.87742,18.15858,54.98154,7.0
11.015,1.1374,14.78743,61.76692,11.0
7.15,1.00741,10.76263,60.36993,7.0
3.285,0.61745,7.1886,62.46541,4.0
6.184,0.38988,7.95651,53.41824,4.0
3.285,1.46206,17.47488,44.05508,5.0
4.251,2.43676,27.09054,35.62325,6.0
3.285,3.41147,24.97008,38.46712,6.0
7.15,3.86633,30.16677,34.37593,4.0
7.15,5.2959,31.6782,30.68389,4.0
9.082,7.11535,27.42792,34.37593,7.0
9.082,5.26341,19.88758,46.25035,5.0
8.116,3.41147,12.08644,58.27444,6.0
13.913,3.47645,14.28187,60.17036,6.0
11.981,3.86633,13.42325,60.66928,5.0
6.184,4.02878,18.59886,55.77982,6.0
5.217,4.06127,14.74132,55.38068,3.0
5.217,3.21653,9.98596,57.42627,-1.0
3.285,2.59922,11.34978,55.68003,2.0
0.386,2.69669,12.45218,54.28304,5.0
-0.58,3.86633,16.60504,58.72347,3.0
2.319,2.11186,10.84519,57.42627,3.0
4.251,1.16965,8.22138,59.62154,6.0
4.251,1.72198,11.70381,54.83186,4.0
4.251,1.07218,8.84028,53.93379,5.0
4.251,1.07218,8.6838,53.2353,5.0
2.319,0.55233,4.78644,51.13981,6.0
4.251,0.47642,5.87788,45.83458,6.0
10.048,0.73629,7.00978,43.17364,8.0
6.184,0.45477,6.45019,45.45207,7.0
5.217,3.15087,22.50655,34.42583,6.0
6.184,1.33181,9.33128,48.64519,4.0
8.116,2.24134,9.97137,48.94454,6.0
11.015,3.93047,15.2593,44.40433,4.0
19.71,4.80752,17.61868,47.54755,4.0
10.048,5.91195,15.4557,59.80448,5.0
7.15,4.87249,9.7977,70.39832,5.0
11.981,3.96296,9.73149,71.14671,6.0
11.015,3.08591,8.67639,70.34843,9.0
10.048,2.43624,7.69002,73.59144,6.0
7.15,2.82604,10.69216,72.5437,6.0
8.116,2.72859,8.91124,72.89294,6.0
6.184,4.15786,13.76288,68.70197,7.0
6.184,2.82604,11.05736,70.34843,4.0
10.048,1.98148,12.03931,67.30498,8.0
7.15,1.49423,9.44745,67.90369,5.0
7.15,1.26685,12.09164,61.76692,7.0
7.15,2.37128,27.9278,42.80777,8.0
5.217,2.17638,26.19195,37.46927,6.0
6.184,1.3643,19.66359,43.30669,6.0
3.285,1.08311,19.68498,41.31099,16.0
11.015,0.90981,19.11634,36.85393,4.0
5.217,0.71486,13.24448,39.56475,4.0
7.15,0.90981,10.91179,41.95959,4.0
6.184,0.90981,15.29218,35.52346,7.0
3.285,2.82692,19.34043,30.18496,11.0
10.048,3.63926,15.90467,33.72733,12.0
7.15,3.73674,13.72145,43.45637,8.0
2.319,2.40451,8.41137,59.47186,6.0
0.386,2.27454,8.61066,66.00778,4.0
-0.58,2.76194,10.26211,67.8538,3.0
10.048,2.30703,11.22036,66.95574,6.0
6.184,4.4191,12.31014,66.95574,7.0
