PM10,NO,NO2,O3,PM25
-0.966,1.71658,12.19901,52.33723,6.0
-2.899,1.74897,10.944,51.38928,6.0
0.0,1.42509,8.66306,52.5368,4.0
8.696,1.3927,10.28492,50.64089,5.0
7.73,0.21619,8.31442,52.753,15.0
5.797,0.5621,7.50514,54.21652,1.0
5.797,0.45401,5.52683,55.43057,2.0
4.831,0.61615,5.48739,56.5781,2.0
3.865,0.90801,6.08576,57.92519,2.0
2.899,0.84315,6.44667,56.62799,2.0
4.831,2.39975,13.10677,51.13981,5.0
4.831,6.45337,26.91984,41.06153,5.0
8.696,7.36138,35.14964,34.77507,2.0
8.696,8.49639,35.50106,37.07013,0.0
10.628,7.68567,26.38998,39.2654,1.0
8.696,7.00466,21.15892,44.70368,4.0
12.561,4.63734,14.38227,51.83831,4.0
4.831,4.7022,13.81218,52.43702,3.0
5.797,6.16151,16.59482,51.68863,9.0
4.831,3.89148,16.25803,50.24175,5.0
3.865,4.57249,19.97257,46.89895,1.0
3.865,4.34548,20.37294,44.554,1.0
5.797,5.2535,21.02013,42.85766,1.0
5.797,2.2376,15.08108,48.74497,7.0
8.696,1.97817,12.49812,51.43917,6.0
6.763,1.78359,10.49554,52.38713,2.0
6.763,1.52416,9.32451,54.03358,2.0
11.594,1.19987,7.15476,56.32863,3.0
14.493,0.69269,5.61708,57.80878,4.0
6.763,0.69269,3.66898,60.33666,5.0
3.865,0.51951,2.96046,62.31573,5.0
1.932,0.51951,3.74318,62.11616,5.0
5.797,0.7468,4.38612,62.66498,4.0
6.763,1.0715,6.65385,61.81681,3.0
8.696,1.98065,11.93902,56.97724,4.0
7.73,4.22106,22.95795,47.19831,3.0
9.662,6.81863,32.33342,38.16776,4.0
16.425,6.5264,30.64207,41.31099,6.0
12.561,5.94195,26.32011,45.55185,10.0
16.425,9.15645,30.9926,43.20691,7.0
10.628,8.63693,29.70194,44.6039,5.0
14.493,12.53329,43.50424,34.47572,8.0
6.763,10.74746,46.71211,33.47787,6.0
12.561,9.28633,47.02178,30.23486,7.0
14.493,13.99443,56.97038,23.15012,7.0
16.425,20.65071,64.34925,17.26281,15.0
15.459,6.59134,43.06596,33.02884,4.0
15.459,5.68219,36.63281,35.32389,3.0
16.425,2.92227,26.82791,39.71443,7.0
8.696,2.5651,22.10527,44.70368,7.0
10.628,2.66251,19.13813,47.09852,8.0
10.628,1.62348,13.37375,52.48691,7.0
28.02,0.65021,11.36059,50.89035,6.0
6.763,0.78025,9.77271,51.62211,7.0
9.662,1.20288,11.84958,47.64734,9.0
9.662,1.39795,16.02837,45.00304,5.0
6.763,1.00782,8.45182,52.13766,4.0
12.561,1.2679,9.66715,47.64734,6.0
9.662,2.60083,14.34018,41.16131,8.0
12.561,4.97408,23.35385,33.57765,12.0
10.628,8.64775,33.23734,26.49292,8.0
13.527,8.22512,27.63717,32.08088,8.0
10.628,10.72842,24.11125,36.07228,9.0
14.493,7.08726,23.02953,43.70583,7.0
10.628,6.11195,19.52642,50.19186,5.0
5.797,4.3889,18.62774,53.78412,3.0
10.628,3.90124,19.84409,53.13551,5.0
18.358,9.23294,34.2666,34.52561,6.0
14.493,9.75311,37.9469,24.49722,7.0
18.358,7.05475,35.67992,25.59485,14.0
17.392,5.81935,31.22183,30.98324,14.0
